path,x_min,y_min,x_max,y_max,class
Fruits_train/20190815_093710.jpg,303,175,434,310,object
Fruits_train/20190815_093724.jpg,314,241,415,349,object
Fruits_train/20190815_093729.jpg,135,248,271,374,object
Fruits_train/20190815_093735.jpg,196,331,317,461,object
Fruits_train/20190815_093738.jpg,254,222,389,358,object
Fruits_train/20190815_093742.jpg,254,248,391,388,object
Fruits_train/20190815_093749.jpg,195,292,325,424,object
Fruits_train/20190815_093752.jpg,170,300,318,443,object
Fruits_train/20190815_093756.jpg,286,176,447,336,object
Fruits_train/20190815_093800.jpg,190,273,317,406,object
Fruits_train/20190815_093803.jpg,186,325,277,416,object
Fruits_train/20190815_093806.jpg,170,333,284,439,object
Fruits_train/20190815_093810.jpg,189,307,304,414,object
Fruits_train/20190815_093828.jpg,144,259,319,427,object
Fruits_train/20190815_093831.jpg,150,332,275,436,object
Fruits_train/20190815_093834.jpg,170,337,286,453,object
Fruits_train/20190815_093844.jpg,186,211,328,345,object
Fruits_train/20190815_093844.jpg,195,410,329,546,object
Fruits_train/20190815_093846.jpg,200,232,311,354,object
Fruits_train/20190815_093846.jpg,194,395,305,496,object
Fruits_train/20190815_093850.jpg,184,200,314,315,object
Fruits_train/20190815_093850.jpg,187,379,301,498,object
Fruits_train/20190815_093858.jpg,170,190,317,324,object
Fruits_train/20190815_093858.jpg,179,388,327,513,object
Fruits_train/20190815_093900.jpg,133,177,268,307,object
Fruits_train/20190815_093900.jpg,167,348,314,485,object
Fruits_train/20190815_093903.jpg,174,277,287,380,object
Fruits_train/20190815_093903.jpg,179,423,274,520,object
Fruits_train/20190815_093906.jpg,167,231,310,368,object
Fruits_train/20190815_093906.jpg,173,425,309,548,object
Fruits_train/20190815_093913.jpg,171,156,323,303,object
Fruits_train/20190815_093913.jpg,232,374,380,523,object
Fruits_train/20190815_093917.jpg,202,239,315,357,object
Fruits_train/20190815_093917.jpg,207,423,313,524,object
Fruits_train/20190815_093920.jpg,171,248,300,374,object
Fruits_train/20190815_093920.jpg,180,449,291,554,object
Fruits_train/20190815_093923.jpg,189,190,301,296,object
Fruits_train/20190815_093923.jpg,171,361,301,480,object
Fruits_train/20190815_093925.jpg,200,236,293,338,object
Fruits_train/20190815_093925.jpg,185,393,282,492,object
Fruits_train/20190815_093928.jpg,172,253,283,349,object
Fruits_train/20190815_093928.jpg,159,402,270,504,object
Fruits_train/20190815_093931.jpg,198,242,307,343,object
Fruits_train/20190815_093931.jpg,182,391,285,489,object
Fruits_train/20190815_093934.jpg,196,244,289,332,object
Fruits_train/20190815_093934.jpg,185,396,280,487,object
Fruits_train/20190815_093937.jpg,191,251,291,336,object
Fruits_train/20190815_093937.jpg,182,392,278,493,object
Fruits_train/20190815_093946.jpg,212,259,326,362,object
Fruits_train/20190815_093946.jpg,224,426,328,530,object
Fruits_train/20190815_093947.jpg,211,269,333,375,object
Fruits_train/20190815_093947.jpg,216,429,333,539,object
Fruits_train/20190815_093949.jpg,153,251,277,369,object
Fruits_train/20190815_093949.jpg,160,424,272,532,object
Fruits_train/20190815_093952.jpg,138,191,268,307,object
Fruits_train/20190815_093952.jpg,180,360,299,494,object
Fruits_train/20190815_093955.jpg,180,290,290,402,object
Fruits_train/20190815_093955.jpg,196,446,283,534,object
Fruits_train/20190815_094004.jpg,211,349,309,453,object
Fruits_train/20190815_094005.jpg,215,349,310,446,object
Fruits_train/20190815_094008.jpg,207,317,312,430,object
Fruits_train/20190815_094012.jpg,180,399,275,501,object
Fruits_train/20190815_094015.jpg,216,327,341,454,object
Fruits_train/20190815_094017.jpg,196,331,309,447,object
Fruits_train/20190815_094024.jpg,200,332,314,434,object
Fruits_train/20190815_094026.jpg,196,288,315,401,object
Fruits_train/20190815_094032.jpg,201,371,320,472,object
Fruits_train/20190815_094035.jpg,191,303,308,414,object
Fruits_train/20190815_094044.jpg,210,341,323,437,object
Fruits_train/20190815_094047.jpg,167,259,292,370,object
Fruits_train/20190815_094051.jpg,259,251,371,359,object
Fruits_train/20190815_094054.jpg,248,275,352,375,object
Fruits_train/20190815_094056.jpg,256,294,359,379,object
Fruits_train/20190815_094058.jpg,255,278,349,365,object
Fruits_train/20190815_094112.jpg,199,364,306,458,object
Fruits_train/20190815_094114.jpg,204,337,293,426,object
Fruits_train/20190815_094116.jpg,201,342,292,432,object
Fruits_train/20190815_094119.jpg,191,327,307,438,object
Fruits_train/20190815_094122.jpg,200,354,298,453,object
Fruits_train/20190815_094124.jpg,217,338,320,439,object
Fruits_train/20190815_094127.jpg,196,331,293,446,object
Fruits_train/20190815_094130.jpg,201,301,323,419,object
Fruits_train/20190815_094137.jpg,199,343,329,448,object
Fruits_train/20190815_094138.jpg,190,338,318,453,object
Fruits_train/20190815_094141.jpg,170,313,313,432,object
Fruits_train/20190815_094144.jpg,279,153,403,271,object
Fruits_train/20190815_094149.jpg,249,216,373,337,object
Fruits_train/20190815_094152.jpg,231,299,377,427,object
Fruits_train/20190815_094156.jpg,248,291,379,401,object
Fruits_train/20190815_094158.jpg,270,264,388,373,object
Fruits_train/20190815_094213.jpg,233,400,349,496,object
Fruits_train/20190815_094213.jpg,284,258,405,364,object
Fruits_train/20190815_094213.jpg,107,250,233,369,object
Fruits_train/20190815_094214.jpg,102,246,231,369,object
Fruits_train/20190815_094214.jpg,291,259,395,370,object
Fruits_train/20190815_094214.jpg,228,398,348,508,object
Fruits_train/20190815_094216.jpg,233,400,339,505,object
Fruits_train/20190815_094216.jpg,283,258,401,382,object
Fruits_train/20190815_094216.jpg,103,246,233,375,object
Fruits_train/20190815_094221.jpg,167,350,286,453,object
Fruits_train/20190815_094221.jpg,219,224,344,330,object
Fruits_train/20190815_094221.jpg,67,222,178,332,object
Fruits_train/20190815_094228.jpg,332,301,459,422,object
Fruits_train/20190815_094228.jpg,153,299,287,426,object
Fruits_train/20190815_094228.jpg,193,155,332,283,object
Fruits_train/20190815_094230.jpg,115,147,258,279,object
Fruits_train/20190815_094230.jpg,283,210,432,363,object
Fruits_train/20190815_094230.jpg,329,53,469,180,object
Fruits_train/20190815_094233.jpg,340,48,474,164,object
Fruits_train/20190815_094233.jpg,360,197,519,345,object
Fruits_train/20190815_094233.jpg,146,158,298,284,object
Fruits_train/20190815_094237.jpg,252,108,398,270,object
Fruits_train/20190815_094237.jpg,455,182,632,332,object
Fruits_train/20190815_094237.jpg,405,16,538,149,object
Fruits_train/20190815_094238.jpg,340,8,468,133,object
Fruits_train/20190815_094238.jpg,359,204,496,342,object
Fruits_train/20190815_094238.jpg,169,153,315,285,object
Fruits_train/20190815_094240.jpg,166,207,292,320,object
Fruits_train/20190815_094240.jpg,332,250,467,371,object
Fruits_train/20190815_094240.jpg,315,45,443,181,object
Fruits_train/20190815_094256.jpg,282,102,405,225,object
Fruits_train/20190815_094256.jpg,294,293,409,417,object
Fruits_train/20190815_094256.jpg,156,236,277,357,object
Fruits_train/20190815_094300.jpg,362,66,503,204,object
Fruits_train/20190815_094300.jpg,366,282,498,426,object
Fruits_train/20190815_094300.jpg,203,213,346,332,object
Fruits_train/20190815_094302.jpg,127,205,252,314,object
Fruits_train/20190815_094302.jpg,260,276,374,394,object
Fruits_train/20190815_094302.jpg,261,71,389,199,object
Fruits_train/20190815_094318.jpg,168,171,330,309,object
Fruits_train/20190815_094318.jpg,352,247,495,388,object
Fruits_train/20190815_094320.jpg,406,199,578,356,object
Fruits_train/20190815_094320.jpg,202,106,365,273,object
Fruits_train/20190815_094322.jpg,158,68,332,242,object
Fruits_train/20190815_094322.jpg,354,208,535,363,object
Fruits_train/20190815_094325.jpg,166,161,301,293,object
Fruits_train/20190815_094325.jpg,322,222,483,378,object
Fruits_train/20190815_094328.jpg,178,119,356,293,object
Fruits_train/20190815_094328.jpg,410,196,590,356,object
Fruits_train/20190815_094330.jpg,334,160,529,340,object
Fruits_train/20190815_094330.jpg,132,114,297,271,object
Fruits_train/20190815_094332.jpg,96,348,285,548,object
Fruits_train/20190815_094332.jpg,229,147,389,327,object
Fruits_train/20190815_094335.jpg,217,213,362,370,object
Fruits_train/20190815_094335.jpg,146,383,275,542,object
Fruits_train/20190815_094338.jpg,248,190,349,278,object
Fruits_train/20190815_094338.jpg,358,243,437,327,object
Fruits_train/20190815_094340.jpg,355,236,440,322,object
Fruits_train/20190815_094340.jpg,253,189,338,269,object
Fruits_train/20190815_094341.jpg,239,176,329,253,object
Fruits_train/20190815_094341.jpg,343,226,423,305,object
Fruits_train/20190815_094350.jpg,238,267,343,378,object
Fruits_train/20190815_094350.jpg,218,401,338,506,object
Fruits_train/20190815_094352.jpg,189,396,287,501,object
Fruits_train/20190815_094352.jpg,204,271,301,365,object
Fruits_train/20190815_094354.jpg,200,230,307,339,object
Fruits_train/20190815_094354.jpg,195,366,311,473,object
Fruits_train/20190815_094357.jpg,185,465,287,555,object
Fruits_train/20190815_094357.jpg,189,343,320,443,object
Fruits_train/20190815_094400.jpg,164,296,291,407,object
Fruits_train/20190815_094400.jpg,166,448,279,559,object
Fruits_train/20190815_094402.jpg,172,375,310,493,object
Fruits_train/20190815_094402.jpg,150,233,275,341,object
Fruits_train/20190815_094405.jpg,153,168,312,320,object
Fruits_train/20190815_094405.jpg,131,341,296,508,object
Fruits_train/20190815_094406.jpg,139,349,297,495,object
Fruits_train/20190815_094406.jpg,157,174,314,322,object
Fruits_train/20190815_094408.jpg,175,208,338,348,object
Fruits_train/20190815_094408.jpg,165,391,318,537,object
Fruits_train/20190815_094421.jpg,151,218,296,329,object
Fruits_train/20190815_094421.jpg,187,395,312,512,object
Fruits_train/20190815_094424.jpg,194,418,307,520,object
