path,x_min,y_min,x_max,y_max,class
images/train/0000170620.jpg,329,123,473,289,mug
images/train/0000171683.jpg,298,173,485,317,mug
images/train/0000172728.jpg,268,172,420,313,mug
images/train/0000173785.jpg,127,165,294,331,mug
images/train/0000174846.jpg,353,70,507,239,mug
images/train/0000175923.jpg,271,154,432,315,mug
images/train/0000176946.jpg,315,181,453,336,mug
images/train/0000178007.jpg,324,185,479,326,mug
images/train/0000179057.jpg,327,201,456,340,mug
images/train/0000180074.jpg,265,48,409,202,mug
images/train/0000181066.jpg,417,137,608,340,mug
images/train/0000182096.jpg,391,202,479,288,mug
images/train/0000183153.jpg,319,187,459,331,mug
images/train/0000184185.jpg,251,84,400,287,mug
images/train/0000185242.jpg,299,155,422,294,mug
images/train/0000186267.jpg,430,171,570,290,mug
images/train/0000187360.jpg,285,160,439,291,mug
images/train/0000188373.jpg,422,206,600,299,mug
images/train/0000189456.jpg,300,217,427,335,mug
images/train/0000212760.jpg,185,187,383,361,pencilcase
images/train/0000213788.jpg,255,109,455,350,pencilcase
images/train/0000214849.jpg,191,262,442,431,pencilcase
images/train/0000215864.jpg,257,145,510,333,pencilcase
images/train/0000216893.jpg,152,196,394,389,pencilcase
images/train/0000217960.jpg,316,105,615,344,pencilcase
images/train/0000219007.jpg,182,189,421,376,pencilcase
images/train/0000220048.jpg,309,104,486,401,pencilcase
images/train/0000221094.jpg,274,229,505,342,pencilcase
images/train/0000222199.jpg,271,145,458,372,pencilcase
images/train/0000223264.jpg,163,200,439,379,pencilcase
images/train/0000224289.jpg,294,128,506,393,pencilcase
images/train/0000225348.jpg,286,259,509,379,pencilcase
images/train/0000226377.jpg,238,167,566,365,pencilcase
images/train/0000227379.jpg,346,160,617,299,pencilcase
images/train/0000228413.jpg,302,114,550,393,pencilcase
images/train/0000229460.jpg,395,191,625,313,pencilcase
images/train/0000230514.jpg,277,157,566,350,pencilcase
images/train/0000231587.jpg,143,225,402,351,pencilcase
images/train/0000232632.jpg,241,81,536,357,pencilcase
images/train/0000233711.jpg,386,201,603,319,pencilcase
images/train/0000276482.jpg,299,131,447,326,ringbinder
images/train/0000277511.jpg,374,107,468,357,ringbinder
images/train/0000278526.jpg,250,73,526,434,ringbinder
images/train/0000279606.jpg,322,121,444,270,ringbinder
images/train/0000280638.jpg,238,188,369,356,ringbinder
images/train/0000281662.jpg,305,195,434,301,ringbinder
images/train/0000282730.jpg,159,146,343,300,ringbinder
images/train/0000283782.jpg,291,146,454,315,ringbinder
images/train/0000284806.jpg,316,134,478,341,ringbinder
images/train/0000285846.jpg,263,225,401,399,ringbinder
images/train/0000286877.jpg,251,147,433,291,ringbinder
images/train/0000287950.jpg,344,186,519,306,ringbinder
images/train/0000288968.jpg,302,119,463,398,ringbinder
images/train/0000290024.jpg,352,165,542,335,ringbinder
images/train/0000291015.jpg,181,136,310,295,ringbinder
images/train/0000292042.jpg,272,96,506,340,ringbinder
images/train/0000293087.jpg,228,116,339,273,soapdispenser
images/train/0000294135.jpg,342,174,402,275,soapdispenser
images/train/0000295186.jpg,315,95,461,310,soapdispenser
images/train/0000296207.jpg,231,166,338,347,soapdispenser
images/train/0000297236.jpg,285,202,437,292,soapdispenser
images/train/0000298258.jpg,357,87,457,298,soapdispenser
images/train/0000299300.jpg,326,120,448,323,soapdispenser
images/train/0000300294.jpg,372,217,599,329,soapdispenser
images/train/0000301357.jpg,210,193,314,352,soapdispenser
images/train/0000302383.jpg,298,183,474,372,soapdispenser
images/train/0000303423.jpg,195,199,356,319,soapdispenser
images/train/0000304465.jpg,348,107,462,304,soapdispenser
images/train/0000305524.jpg,253,150,462,293,soapdispenser
images/train/0000306561.jpg,349,217,395,282,soapdispenser
images/train/0000307625.jpg,333,141,427,343,soapdispenser
images/train/0000308682.jpg,324,168,403,301,soapdispenser
images/train/0000309708.jpg,284,71,448,405,soapdispenser
images/train/0000310771.jpg,366,141,499,344,sodabottle
images/train/0000311835.jpg,415,165,465,279,sodabottle
images/train/0000312871.jpg,303,168,433,308,sodabottle
images/train/0000313967.jpg,354,190,413,283,sodabottle
images/train/0000314991.jpg,227,216,423,321,sodabottle
